Producto;Cantidad;Categoría;Fecha/Hora;Valor del Descuento;Motivo del Descuento;Ventas NETAS;Tipo de Venta;Opción de Comer;Código Fiscal;Impuesto;Ventas TOTALES;Precio de Coste;Margen;Método de Pago;Nominal;A/C Ref;Notas;Identificación del Cliente;ProductId
Panini Cromos Mundial 2026;6.0000;Otros;04/07/2026 13:01:22;0.0000;;7.44000;Eat in;0;;1.56;9.00000;6.04260;1.39740;Efectivo;;;;;2336673
Copia A4 Color;5.0000;Copisteria;04/07/2026 12:29:54;0.0000;;1.86000;Eat in;0;;0.39;2.25000;0.25000;1.61000;Tarjeta;;;;;2160049
Copia A4 Color;1.0000;Copisteria;04/07/2026 12:21:16;0.0000;;0.37000;Eat in;0;;0.08;0.45000;0.05000;0.32000;Efectivo;;;;;2160049
Doble Cara A4 B/N;3.0000;Copisteria;04/07/2026 12:09:41;0.0000;;0.62000;Eat in;0;;0.13;0.75000;0.15000;0.47000;Tarjeta;;;;;2160046
Bolsa regalo grande globos Design;1.0000;Temporada;04/07/2026 11:25:09;0.0000;;1.86000;Eat in;0;;0.39;2.25000;0.90000;0.96000;Tarjeta;;;;;2150548
Billetera Atletico de Madrid;1.0000;Escolar y manualidades;04/07/2026 10:58:29;0.0000;;9.26000;Eat in;0;;1.94;11.20000;7.00000;2.26000;Tarjeta;;;;;2159177
Burbujas Tuban 1;1.0000;Juegos y regalos;04/07/2026 10:35:30;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.33000;0.50000;Efectivo;;;;;2152063
Copia A4 Color;1.0000;Copisteria;03/07/2026 19:43:09;0.0000;;0.37000;Eat in;0;;0.08;0.45000;0.05000;0.32000;Tarjeta;;;;;2160049
Copia A4 B/N;1.0000;Copisteria;03/07/2026 19:43:09;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;03/07/2026 19:43:09;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;03/07/2026 19:06:56;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;03/07/2026 19:06:56;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;03/07/2026 19:06:56;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Panini Album Mundial 2026;1.0000;Juegos y regalos;03/07/2026 19:04:58;0.0000;;5.00000;Eat in;0;;0.00;5.00000;5.00000;0.00000;Tarjeta;;;;;2385306
Panini Cromos Mundial 2026;20.0000;Otros;03/07/2026 19:04:58;0.0000;;24.79000;Eat in;0;;5.21;30.00000;20.14200;4.64800;Tarjeta;;;;;2336673
Etiqueta Blanco y Negro;1.0000;Copisteria;03/07/2026 18:36:07;0.0000;;0.37000;Eat in;0;;0.08;0.45000;0.05000;0.32000;Efectivo;;;;;2160061
Bic Cristal Large 1.6 Azul;3.0000;Bolígrafos;03/07/2026 18:05:52;0.0000;;1.74000;Eat in;0;;0.36;2.10000;0.58620;1.15380;Tarjeta;;;;;2205499
Bic Cristal 10 c caja;1.0000;Bolígrafos;03/07/2026 18:05:52;0.0000;;3.06000;Eat in;0;;0.64;3.70000;1.98000;1.08000;Tarjeta;;;;;2151960
Copia A4 B/N;5.0000;Copisteria;03/07/2026 17:52:59;0.0000;;0.62000;Eat in;0;;0.13;0.75000;0.25000;0.37000;Efectivo;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;03/07/2026 17:52:59;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Efectivo;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;03/07/2026 17:52:59;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Efectivo;;;;;2160044
Doble Cara A4 B/N;10.0000;Copisteria;03/07/2026 17:52:59;0.0000;;2.07000;Eat in;0;;0.43;2.50000;0.50000;1.57000;Efectivo;;;;;2160046
Panini Cromos Mundial 2026;10.0000;Otros;03/07/2026 17:48:52;0.0000;;12.40000;Eat in;0;;2.60;15.00000;10.07100;2.32900;Efectivo;;;;;2336673
Tippex Boli 8 ml;1.0000;Escritura;03/07/2026 17:05:56;0.0000;;2.27000;Eat in;0;;0.48;2.75000;1.30600;0.96400;Tarjeta;;;;;2157007
Cristal Fine Azul 0.8;1.0000;Bolígrafos;03/07/2026 17:05:56;0.0000;;0.50000;Eat in;0;;0.10;0.60000;0.18000;0.32000;Tarjeta;;;;;2155652
Tippex Boli 8 ml;1.0000;Escritura;03/07/2026 17:05:56;0.0000;;2.27000;Eat in;0;;0.48;2.75000;1.30600;0.96400;Tarjeta;;;;;2157007
Cristal Fine Azul 0.8;1.0000;Bolígrafos;03/07/2026 17:05:56;0.0000;;0.50000;Eat in;0;;0.10;0.60000;0.18000;0.32000;Tarjeta;;;;;2155652
Textiliner 48  Verde;1.0000;Resaltadores;03/07/2026 17:05:56;0.0000;;1.07000;Eat in;0;;0.23;1.30000;0.45000;0.62000;Tarjeta;;;;;2154282
Boss 70/56;1.0000;Resaltadores;03/07/2026 17:05:56;0.0000;;1.40000;Eat in;0;;0.30;1.70000;0.69000;0.71000;Tarjeta;;;;;2155100
Textiliner 48  Amarillo;1.0000;Resaltadores;03/07/2026 17:05:56;0.0000;;1.07000;Eat in;0;;0.23;1.30000;0.45000;0.62000;Tarjeta;;;;;2154275
A4 Color Cartulina;3.0000;Copisteria;03/07/2026 13:31:02;0.0000;;1.74000;Eat in;0;;0.36;2.10000;0.75000;0.99000;Efectivo;;;;;2162971
A4 Color Cartulina;4.0000;Copisteria;03/07/2026 13:31:02;0.0000;;2.31000;Eat in;0;;0.49;2.80000;1.00000;1.31000;Efectivo;;;;;2162971
Copia A4 B/N;1.0000;Copisteria;03/07/2026 13:27:03;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Efectivo;;;;;2160044
Noris Triangular HB ;1.0000;Lápices y portaminas;03/07/2026 13:11:14;0.0000;;0.79000;Eat in;0;;0.16;0.95000;0.38000;0.41000;Efectivo;;;;;2160897
Afilador Cuña  doble Maped;1.0000;Lápices y portaminas;03/07/2026 13:11:14;0.0000;;0.99000;Eat in;0;;0.21;1.20000;0.76000;0.23000;Efectivo;;;;;2156490
Noris Triangular HB ;1.0000;Lápices y portaminas;03/07/2026 13:11:14;0.0000;;0.79000;Eat in;0;;0.16;0.95000;0.38000;0.41000;Efectivo;;;;;2160897
Goma Milán 430;1.0000;Artículos generales;03/07/2026 13:11:14;0.0000;;0.50000;Eat in;0;;0.10;0.60000;0.13400;0.36600;Efectivo;;;;;2156974
Noris Triangular Jumbo HB ;1.0000;Lápices y portaminas;03/07/2026 13:11:14;0.0000;;0.79000;Eat in;0;;0.16;0.95000;0.70000;0.09000;Efectivo;;;;;2160905
Noris 2H;1.0000;Lápices y portaminas;03/07/2026 13:11:14;0.0000;;0.66000;Eat in;0;;0.14;0.80000;0.29000;0.37000;Efectivo;;;;;2160907
Milan 33m con Dispensador;1.0000;Artículos generales;03/07/2026 13:00:06;0.0000;;1.28000;Eat in;0;;0.27;1.55000;0.68000;0.60000;Tarjeta;;;;;2156967
Pasta Modelar JOVI terracota 500g;1.0000;Escolar y manualidades;03/07/2026 13:00:06;0.0000;;1.82000;Eat in;0;;0.38;2.20000;1.09000;0.73000;Tarjeta;;;;;2151519
Carioca 12c aquarella Lavables.;1.0000;Rotuladores y marcadores;03/07/2026 13:00:06;0.0000;;2.73000;Eat in;0;;0.57;3.30000;1.60000;1.13000;Tarjeta;;;;;2356902
Pasta Modelar JOVI Blanca 500g;1.0000;Escolar y manualidades;03/07/2026 13:00:06;0.0000;;1.82000;Eat in;0;;0.38;2.20000;1.09000;0.73000;Tarjeta;;;;;2151518
Panini Cromos Mundial 2026;2.0000;Otros;03/07/2026 12:51:49;0.0000;;2.48000;Eat in;0;;0.52;3.00000;2.01420;0.46580;Tarjeta;;;;;2336673
Copia A4 B/N;3.0000;Copisteria;03/07/2026 12:51:49;0.0000;;0.37000;Eat in;0;;0.08;0.45000;0.15000;0.22000;Tarjeta;;;;;2160044
Copia A4 Color;1.0000;Copisteria;03/07/2026 11:59:08;0.0000;;0.37000;Eat in;0;;0.08;0.45000;0.05000;0.32000;Efectivo;;;;;2160049
Plastilina Jovi 50g. 70/12;1.0000;Escolar y manualidades;03/07/2026 11:56:05;0.0000;;0.66000;Eat in;0;;0.14;0.80000;0.30000;0.36000;Tarjeta;;;;375009;2261878
Bloc Dibujo Basik Canson A3+;1.0000;Escolar y manualidades;03/07/2026 11:56:05;0.0000;;10.37000;Eat in;0;;2.18;12.55000;6.43000;3.94000;Tarjeta;;;;375009;2152163
Plastilina Jovi 50g 70/14;1.0000;Escolar y manualidades;03/07/2026 11:56:05;0.0000;;0.66000;Eat in;0;;0.14;0.80000;0.30000;0.36000;Tarjeta;;;;375009;2151454
Regla Bismark 30 cm metal;1.0000;Escolar y manualidades;03/07/2026 11:56:05;0.0000;;2.07000;Eat in;0;;0.43;2.50000;0.72000;1.35000;Tarjeta;;;;375009;2151903
Bloc Cartulina Praxton;1.0000;Escolar y manualidades;03/07/2026 11:56:05;0.0000;;2.48000;Eat in;0;;0.52;3.00000;0.58000;1.90000;Tarjeta;;;;375009;2158489
Goma Milán nata 612;1.0000;Artículos generales;03/07/2026 11:56:05;0.0000;;0.79000;Eat in;0;;0.16;0.95000;0.36200;0.42800;Tarjeta;;;;375009;2156980
Plastilina Jovi 50g 70/01;1.0000;Escolar y manualidades;03/07/2026 11:56:05;0.0000;;0.66000;Eat in;0;;0.14;0.80000;0.30000;0.36000;Tarjeta;;;;375009;2151451
TauroPlastic 80H TB cuadriculado 4x4;1.0000;Cuadernos y bloc;03/07/2026 11:56:05;0.0000;;3.10000;Eat in;0;;0.65;3.75000;1.33000;1.77000;Tarjeta;;;;375009;2229161
Plastilina Jovi 50g 70/05;1.0000;Escolar y manualidades;03/07/2026 11:56:05;0.0000;;0.66000;Eat in;0;;0.14;0.80000;0.30000;0.36000;Tarjeta;;;;375009;2151462
Plastilina Jovi 50g 70/05;1.0000;Escolar y manualidades;03/07/2026 11:56:05;0.0000;;0.66000;Eat in;0;;0.14;0.80000;0.30000;0.36000;Tarjeta;;;;375009;2151462
TP Espiral A4 University 4x4;1.0000;Cuadernos y bloc;03/07/2026 11:56:05;0.0000;;3.39000;Eat in;0;;0.71;4.10000;1.64000;1.75000;Tarjeta;;;;375009;2319389
Espiral A4 Cuadriculado 4x4;1.0000;Cuadernos y bloc;03/07/2026 11:56:05;0.0000;;3.64000;Eat in;0;;0.76;4.40000;2.63000;1.01000;Tarjeta;;;;375009;2158932
Espiral A4 Cuadriculado 4x4;1.0000;Cuadernos y bloc;03/07/2026 11:56:05;0.0000;;3.64000;Eat in;0;;0.76;4.40000;2.63000;1.01000;Tarjeta;;;;375009;2158932
Espiral A4 Cuadriculado 4x4;1.0000;Cuadernos y bloc;03/07/2026 11:56:05;0.0000;;3.64000;Eat in;0;;0.76;4.40000;2.63000;1.01000;Tarjeta;;;;375009;2158932
Pegamento Barra Pritt 11g;5.0000;Oficina;03/07/2026 11:56:05;0.0000;;6.16000;Eat in;0;;1.29;7.45000;4.15000;2.01000;Tarjeta;;;;375009;2162580
Plastilina Jovi 50g 70/02;1.0000;Escolar y manualidades;03/07/2026 11:56:05;0.0000;;0.66000;Eat in;0;;0.14;0.80000;0.30000;0.36000;Tarjeta;;;;375009;2151473
Noris HB ;1.0000;Lápices y portaminas;03/07/2026 11:56:05;0.0000;;0.66000;Eat in;0;;0.14;0.80000;0.29000;0.37000;Tarjeta;;;Luisa pedido;375009;2160892
Noris HB ;1.0000;Lápices y portaminas;03/07/2026 11:56:05;0.0000;;0.66000;Eat in;0;;0.14;0.80000;0.29000;0.37000;Tarjeta;;;;375009;2160892
Copia A4 Color;3.0000;Copisteria;03/07/2026 11:53:24;0.0000;;1.12000;Eat in;0;;0.23;1.35000;0.15000;0.97000;Efectivo;;;;;2160049
Navigator 80;1.0000;Papel de oficina y etiquetas;03/07/2026 11:53:07;0.0000;;7.48000;Take Out;1;;1.57;9.05000;3.89000;3.59000;Glovo;;;;;2159676
Copia A4 B/N;7.0000;Copisteria;03/07/2026 11:48:01;0.0000;;0.87000;Eat in;0;;0.18;1.05000;0.35000;0.52000;Efectivo;;;;;2160044
Navigator 100;1.0000;Papel de oficina y etiquetas;03/07/2026 11:41:56;0.0000;;8.06000;Eat in;0;;1.69;9.75000;4.82000;3.24000;Tarjeta;;;;375004;2159681
Dosier Uñero A4;1.0000;Oficina;03/07/2026 11:41:56;0.0000;;0.41000;Eat in;0;;0.09;0.50000;0.25000;0.16000;Tarjeta;;;;375004;2163434
Panini Cromos Mundial 2026;3.0000;Otros;03/07/2026 11:41:56;0.0000;;3.72000;Eat in;0;;0.78;4.50000;3.02130;0.69870;Tarjeta;;;;375004;2336673
Copia A4 B/N;1.0000;Copisteria;03/07/2026 11:38:44;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Cinta embalaje Oscuro MP 100m;1.0000;Oficina;03/07/2026 11:38:44;0.0000;;2.52000;Eat in;0;;0.53;3.05000;1.27000;1.25000;Tarjeta;;;;;2151549
1ª Página;1.0000;Copisteria;03/07/2026 11:27:21;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.05000;0.78000;Efectivo;;;;;2160065
2ª Pag;3.0000;Copisteria;03/07/2026 11:27:21;0.0000;;0.30000;Eat in;0;;0.06;0.36000;0.15000;0.15000;Efectivo;;;;;2160067
Copia A4 B/N;1.0000;Copisteria;03/07/2026 11:17:14;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;03/07/2026 11:17:14;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;03/07/2026 11:17:14;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Recambio G2 0.7 Azul;1.0000;Bolígrafos;03/07/2026 11:16:47;0.0000;;1.49000;Eat in;0;;0.31;1.80000;0.74000;0.75000;Tarjeta;;;;;2154080
Recambio G2 0.7 Azul;1.0000;Bolígrafos;03/07/2026 11:16:47;0.0000;;1.49000;Eat in;0;;0.31;1.80000;0.74000;0.75000;Tarjeta;;;;;2154080
Recambio G2 0.7 Azul;1.0000;Bolígrafos;03/07/2026 11:16:47;0.0000;;1.49000;Eat in;0;;0.31;1.80000;0.74000;0.75000;Tarjeta;;;;;2154080
1ª Página;1.0000;Copisteria;03/07/2026 10:49:45;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.05000;0.78000;Efectivo;;;;;2160065
2ª Pag;21.0000;Copisteria;03/07/2026 10:49:45;0.0000;;2.08000;Eat in;0;;0.44;2.52000;1.05000;1.03000;Efectivo;;;;;2160067
Copia A4 B/N;12.0000;Copisteria;03/07/2026 10:48:59;0.0000;;1.49000;Eat in;0;;0.31;1.80000;0.60000;0.89000;Tarjeta;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;03/07/2026 10:30:04;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Efectivo;;;;;2160044
Rollo Termico Datafono  Fabri XL 80x80;7.0000;Otros;03/07/2026 9:49:39;0.0000;;7.81000;Eat in;0;;1.64;9.45000;4.90000;2.91000;Tarjeta;;;;367160;2161779
Permanente Fine point Negro;1.0000;Rotuladores y marcadores;03/07/2026 9:37:51;0.0000;;1.64000;Eat in;0;;0.35;1.99000;1.33000;0.31000;Tarjeta;;;;;2152716
Cinta carrocero fina Nopi;1.0000;Oficina;03/07/2026 9:37:51;0.0000;;2.52000;Eat in;0;;0.53;3.05000;1.43000;1.09000;Tarjeta;;;;;2227005
Copia A4 B/N;1.0000;Copisteria;02/07/2026 19:43:47;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Efectivo;;;;;2160044
Copia A4 B/N;1.0000;Copisteria;02/07/2026 19:43:47;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Efectivo;;;;;2160044
2ª Pag;1.0000;Copisteria;02/07/2026 19:42:43;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Tarjeta;;;;;2160067
2ª Pag;1.0000;Copisteria;02/07/2026 19:42:43;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Tarjeta;;;;;2160067
2ª Pag;1.0000;Copisteria;02/07/2026 19:42:43;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Tarjeta;;;;;2160067
2ª Pag;1.0000;Copisteria;02/07/2026 19:42:43;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Tarjeta;;;;;2160067
2ª Pag;1.0000;Copisteria;02/07/2026 19:42:43;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Tarjeta;;;;;2160067
2ª Pag;1.0000;Copisteria;02/07/2026 19:42:43;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Tarjeta;;;;;2160067
2ª Pag;1.0000;Copisteria;02/07/2026 19:42:43;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Tarjeta;;;;;2160067
1ª Página;1.0000;Copisteria;02/07/2026 19:42:43;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.05000;0.78000;Tarjeta;;;;;2160065
Copia A4 B/N;1.0000;Copisteria;02/07/2026 19:34:14;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Permanente Fine point Negro;1.0000;Rotuladores y marcadores;02/07/2026 19:32:58;0.0000;;1.64000;Eat in;0;;0.35;1.99000;1.33000;0.31000;Tarjeta;;;;;2152716
Permanente Fine point Negro;1.0000;Rotuladores y marcadores;02/07/2026 19:32:34;0.0000;;1.64000;Eat in;0;;0.35;1.99000;1.33000;0.31000;Tarjeta;;;;;2152716
Permanente Lumocolor Negro M;1.0000;Rotuladores y marcadores;02/07/2026 19:32:34;0.0000;;2.11000;Eat in;0;;0.44;2.55000;0.89000;1.22000;Tarjeta;;;;;2152691
Copia A4 B/N;10.0000;Copisteria;02/07/2026 19:00:54;0.0000;;1.24000;Eat in;0;;0.26;1.50000;0.50000;0.74000;Efectivo;;;;;2160044
Copia A4 B/N;7.0000;Copisteria;02/07/2026 18:58:50;0.0000;;0.87000;Eat in;0;;0.18;1.05000;0.35000;0.52000;Tarjeta;;;;;2160044
Copia A4 B/N;17.0000;Copisteria;02/07/2026 18:56:52;0.0000;;2.11000;Eat in;0;;0.44;2.55000;0.85000;1.26000;Tarjeta;;;;;2160044
Copia A4 B/N;15.0000;Copisteria;02/07/2026 18:56:52;0.0000;;1.86000;Eat in;0;;0.39;2.25000;0.75000;1.11000;Tarjeta;;;;;2160044
Copia A4 B/N;8.0000;Copisteria;02/07/2026 18:56:52;0.0000;;0.99000;Eat in;0;;0.21;1.20000;0.40000;0.59000;Tarjeta;;;;;2160044
Copia A4 Color;1.0000;Copisteria;02/07/2026 18:56:52;0.0000;;0.37000;Eat in;0;;0.08;0.45000;0.05000;0.32000;Tarjeta;;;;;2160049
Fundas Multilastradas 6822;1.0000;Copisteria;02/07/2026 18:56:52;0.0000;;0.21000;Eat in;0;;0.04;0.25000;0.04670;0.16330;Tarjeta;;;;;2162187
Copia A4 Color;1.0000;Copisteria;02/07/2026 18:50:06;0.0000;;0.37000;Eat in;0;;0.08;0.45000;0.05000;0.32000;Efectivo;;;;;2160049
Copia A4 Color;1.0000;Copisteria;02/07/2026 18:48:42;0.0000;;0.37000;Eat in;0;;0.08;0.45000;0.05000;0.32000;Efectivo;;;;;2160049
1ª Página;1.0000;Copisteria;02/07/2026 18:48:42;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.05000;0.78000;Efectivo;;;;;2160065
1ª Página;1.0000;Copisteria;02/07/2026 18:48:42;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.05000;0.78000;Efectivo;;;;;2160065
2ª Pag;1.0000;Copisteria;02/07/2026 18:48:42;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Efectivo;;;;;2160067
2ª Pag;1.0000;Copisteria;02/07/2026 18:48:42;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Efectivo;;;;;2160067
Afilador Faber-Castell deposito trans;1.0000;Lápices y portaminas;02/07/2026 18:44:38;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.47000;0.36000;Tarjeta;;;;;2157000
Goma Milán nata 612;1.0000;Artículos generales;02/07/2026 18:44:38;0.0000;;0.79000;Eat in;0;;0.16;0.95000;0.36200;0.42800;Tarjeta;;;;;2156980
Post it 3M;1.0000;Papel de oficina y etiquetas;02/07/2026 18:44:38;0.0000;;1.12000;Eat in;0;;0.23;1.35000;0.82000;0.30000;Tarjeta;;;;;2205656
Sobre Americano Open 115;20.0000;Papel;02/07/2026 18:26:19;0.0000;;4.96000;Eat in;0;;1.04;6.00000;2.40000;2.56000;Credit;;;;338762;2162552
Panini Cromos Mundial 2026;4.0000;Otros;02/07/2026 18:21:17;0.0000;;4.96000;Eat in;0;;1.04;6.00000;4.02840;0.93160;Tarjeta;;;;;2336673
Fundas Multilastradas 6822;1.0000;Copisteria;02/07/2026 18:04:34;0.0000;;0.21000;Eat in;0;;0.04;0.25000;0.04670;0.16330;Efectivo;;;;;2162187
Copia A4 Color;6.0000;Copisteria;02/07/2026 18:04:34;0.0000;;2.23000;Eat in;0;;0.47;2.70000;0.30000;1.93000;Efectivo;;;;;2160049
Copia A4 B/N;1.0000;Copisteria;02/07/2026 17:57:07;0.0000;;0.12000;Eat in;0;;0.03;0.15000;0.05000;0.07000;Tarjeta;;;;;2160044
Panini Cromos Mundial 2026;1.0000;Otros;02/07/2026 17:57:07;0.0000;;1.24000;Eat in;0;;0.26;1.50000;1.00710;0.23290;Tarjeta;;;;;2336673
Tauro 1/16 TP;1.0000;Cuadernos y bloc;02/07/2026 17:54:26;0.0000;;0.74000;Eat in;0;;0.16;0.90000;0.28000;0.46000;Efectivo;;;;;2160539
Sobre Americano Open 115;1.0000;Papel;02/07/2026 17:54:00;0.0000;;0.25000;Eat in;0;;0.05;0.30000;0.12000;0.13000;Efectivo;;;;;2162552
Fundas Multilastradas 6822;1.0000;Copisteria;02/07/2026 17:54:00;0.0000;;0.21000;Eat in;0;;0.04;0.25000;0.04670;0.16330;Efectivo;;;;;2162187
Copia A4 B/N;5.0000;Copisteria;02/07/2026 17:54:00;0.0000;;0.62000;Eat in;0;;0.13;0.75000;0.25000;0.37000;Efectivo;;;;;2160044
Servicio menor a 1 hora;1.0000;;02/07/2026 17:54:00;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.00000;0.83000;Efectivo;;;;;2166061
1ª Página;1.0000;Copisteria;02/07/2026 17:35:11;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.05000;0.78000;Tarjeta;;;;;2160065
Papel seda Blanco  10H MP 50x66;1.0000;Escolar y manualidades;02/07/2026 13:48:04;0.0000;;1.40000;Eat in;0;;0.30;1.70000;0.52000;0.88000;Efectivo;;;;;2150670
Plastilina JOVI 90/15 Barra;3.0000;Escolar y manualidades;02/07/2026 13:40:42;0.0000;;13.76000;Take Out;1;;2.89;16.65000;7.35000;6.41000;Glovo;;;;;2151004
Supertite Spray;1.0000;Otros;02/07/2026 13:20:28;0.0000;;1.64000;Eat in;0;;0.35;1.99000;0.95000;0.69000;Tarjeta;;;;345947;2163828
Supertite Spray;1.0000;Otros;02/07/2026 13:20:28;0.0000;;1.64000;Eat in;0;;0.35;1.99000;0.95000;0.69000;Tarjeta;;;;345947;2163828
Supertite Spray;1.0000;Otros;02/07/2026 13:19:57;0.0000;;1.64000;Eat in;0;;0.35;1.99000;0.95000;0.69000;Tarjeta;;;;;2163828
Supertite Spray;1.0000;Otros;02/07/2026 13:19:57;0.0000;;1.64000;Eat in;0;;0.35;1.99000;0.95000;0.69000;Tarjeta;;;;;2163828
2ª Pag;1.0000;Copisteria;02/07/2026 13:19:12;0.0000;;0.10000;Eat in;0;;0.02;0.12000;0.05000;0.05000;Tarjeta;;;;;2160067
Copia A4 B/N;8.0000;Copisteria;02/07/2026 13:19:12;0.0000;;0.99000;Eat in;0;;0.21;1.20000;0.40000;0.59000;Tarjeta;;;;;2160044
1ª Página;1.0000;Copisteria;02/07/2026 13:19:12;0.0000;;0.83000;Eat in;0;;0.17;1.00000;0.05000;0.78000;Tarjeta;;;;;2160065
EVA Foam 10 colores;2.0000;Escolar y manualidades;02/07/2026 13:06:45;0.0000;;9.34000;Eat in;0;;1.96;11.30000;5.04000;4.30000;Tarjeta;;;;345947;2150693
Pegamento Imedio;1.0000;Escolar y manualidades;02/07/2026 13:06:45;0.0000;;2.31000;Eat in;0;;0.49;2.80000;1.40000;0.91000;Tarjeta;;;;345947;2163330
Panini Cromos Mundial 2026;20.0000;Otros;02/07/2026 13:06:45;0.0000;;24.79000;Eat in;0;;5.21;30.00000;20.14200;4.64800;Tarjeta;;;;345947;2336673
Libreta A4 Cuadriculado linea;1.0000;Cuadernos y bloc;02/07/2026 12:57:39;0.0000;;3.26000;Eat in;0;;0.69;3.95000;2.03000;1.23000;Tarjeta;;;;;2290687
