Producto,Fecha,Unidades_Vendidas
Copia A4 B/N,2026-03-18,27.0
Copia A4 B/N,2026-03-19,80.0
Copia A4 B/N,2026-03-20,78.0
Copia A4 B/N,2026-03-21,26.0
Copia A4 B/N,2026-03-22,0.0
Copia A4 B/N,2026-03-23,147.0
Copia A4 B/N,2026-03-24,162.0
Copia A4 B/N,2026-03-25,326.0
Copia A4 B/N,2026-03-26,108.0
Copia A4 B/N,2026-03-27,165.0
Copia A4 B/N,2026-03-28,44.0
Copia A4 B/N,2026-03-29,0.0
Copia A4 B/N,2026-03-30,58.0
Copia A4 B/N,2026-03-31,83.0
Copia A4 B/N,2026-04-01,0.0
Copia A4 B/N,2026-04-02,0.0
Copia A4 B/N,2026-04-03,0.0
Copia A4 B/N,2026-04-04,0.0
Copia A4 B/N,2026-04-05,0.0
Copia A4 B/N,2026-04-06,128.0
Copia A4 B/N,2026-04-07,89.0
Copia A4 B/N,2026-04-08,117.0
Copia A4 B/N,2026-04-09,84.0
Copia A4 B/N,2026-04-10,86.0
Copia A4 B/N,2026-04-11,11.0
Copia A4 B/N,2026-04-12,0.0
Copia A4 B/N,2026-04-13,139.0
Copia A4 B/N,2026-04-14,47.0
Copia A4 B/N,2026-04-15,143.0
Copia A4 B/N,2026-04-16,86.0
Copia A4 B/N,2026-04-17,36.0
Copia A4 B/N,2026-04-18,25.0
Copia A4 B/N,2026-04-19,0.0
Copia A4 B/N,2026-04-20,145.0
Copia A4 B/N,2026-04-21,74.0
Copia A4 B/N,2026-04-22,60.0
Copia A4 B/N,2026-04-23,69.0
Copia A4 B/N,2026-04-24,79.0
Copia A4 B/N,2026-04-25,36.0
Copia A4 B/N,2026-04-26,0.0
Copia A4 B/N,2026-04-27,83.0
Copia A4 B/N,2026-04-28,129.0
Copia A4 B/N,2026-04-29,73.0
Copia A4 B/N,2026-04-30,105.0
Copia A4 B/N,2026-05-01,0.0
Copia A4 B/N,2026-05-02,54.0
Copia A4 B/N,2026-05-03,0.0
Copia A4 B/N,2026-05-04,99.0
Copia A4 B/N,2026-05-05,48.0
Copia A4 B/N,2026-05-06,139.0
Copia A4 B/N,2026-05-07,94.0
Copia A4 B/N,2026-05-08,145.0
Copia A4 B/N,2026-05-09,47.0
Copia A4 B/N,2026-05-10,0.0
Copia A4 B/N,2026-05-11,160.0
Copia A4 B/N,2026-05-12,223.0
Copia A4 B/N,2026-05-13,81.0
Copia A4 B/N,2026-05-14,112.0
Copia A4 B/N,2026-05-15,0.0
Copia A4 B/N,2026-05-16,70.0
Copia A4 B/N,2026-05-17,0.0
Copia A4 B/N,2026-05-18,215.0
Copia A4 B/N,2026-05-19,81.0
Copia A4 B/N,2026-05-20,91.0
Copia A4 B/N,2026-05-21,72.0
Copia A4 B/N,2026-05-22,114.0
Copia A4 B/N,2026-05-23,14.0
Copia A4 B/N,2026-05-24,0.0
Copia A4 B/N,2026-05-25,99.0
Copia A4 B/N,2026-05-26,107.0
Copia A4 B/N,2026-05-27,60.0
Copia A4 B/N,2026-05-28,149.0
Copia A4 B/N,2026-05-29,247.0
Copia A4 B/N,2026-05-30,5.0
Copia A4 B/N,2026-05-31,0.0
Copia A4 B/N,2026-06-01,65.0
Copia A4 B/N,2026-06-02,170.0
Copia A4 B/N,2026-06-03,173.0
Copia A4 B/N,2026-06-04,141.0
Copia A4 B/N,2026-06-05,101.0
Copia A4 B/N,2026-06-06,115.0
Copia A4 B/N,2026-06-07,0.0
Copia A4 B/N,2026-06-08,249.0
Copia A4 B/N,2026-06-09,190.0
Copia A4 B/N,2026-06-10,28.0
Copia A4 B/N,2026-06-11,62.0
Copia A4 B/N,2026-06-12,235.0
Copia A4 B/N,2026-06-13,127.0
Copia A4 B/N,2026-06-14,0.0
Copia A4 B/N,2026-06-15,146.0
Copia A4 B/N,2026-06-16,163.0
Copia A4 B/N,2026-06-17,52.0
Copia A4 B/N,2026-06-18,38.0
Copia A4 B/N,2026-06-19,14.0
Copia A4 B/N,2026-06-20,33.0
Copia A4 B/N,2026-06-21,0.0
Copia A4 B/N,2026-06-22,104.0
Copia A4 B/N,2026-06-23,157.0
Copia A4 B/N,2026-06-24,56.0
Copia A4 B/N,2026-06-25,126.0
Copia A4 B/N,2026-06-26,58.0
Copia A4 B/N,2026-06-27,11.0
Copia A4 B/N,2026-06-28,0.0
Copia A4 B/N,2026-06-29,90.0
Copia A4 B/N,2026-06-30,81.0
Copia A4 B/N,2026-07-01,105.0
Copia A4 B/N,2026-07-02,86.0
Copia A4 B/N,2026-07-03,40.0
Copia A4 B/N,2026-07-04,1.0
Copia A4 B/N,2026-07-05,0.0
Copia A4 B/N,2026-07-06,1.0
Doble Cara A4 B/N,2026-01-19,91.0
Doble Cara A4 B/N,2026-01-20,4.0
Doble Cara A4 B/N,2026-01-21,9.0
Doble Cara A4 B/N,2026-01-22,67.0
Doble Cara A4 B/N,2026-01-23,76.0
Doble Cara A4 B/N,2026-01-24,25.0
Doble Cara A4 B/N,2026-01-25,0.0
Doble Cara A4 B/N,2026-01-26,46.0
Doble Cara A4 B/N,2026-01-27,102.0
Doble Cara A4 B/N,2026-01-28,0.0
Doble Cara A4 B/N,2026-01-29,38.0
Doble Cara A4 B/N,2026-01-30,23.0
Doble Cara A4 B/N,2026-01-31,23.0
Doble Cara A4 B/N,2026-02-01,0.0
Doble Cara A4 B/N,2026-02-02,1.0
Doble Cara A4 B/N,2026-02-03,42.0
Doble Cara A4 B/N,2026-02-04,28.0
Doble Cara A4 B/N,2026-02-05,2.0
Doble Cara A4 B/N,2026-02-06,126.0
Doble Cara A4 B/N,2026-02-07,2.0
Doble Cara A4 B/N,2026-02-08,0.0
Doble Cara A4 B/N,2026-02-09,8.0
Doble Cara A4 B/N,2026-02-10,398.0
Doble Cara A4 B/N,2026-02-11,101.0
Doble Cara A4 B/N,2026-02-12,5.0
Doble Cara A4 B/N,2026-02-13,12.0
Doble Cara A4 B/N,2026-02-14,23.0
Doble Cara A4 B/N,2026-02-15,0.0
Doble Cara A4 B/N,2026-02-16,78.0
Doble Cara A4 B/N,2026-02-17,183.0
Doble Cara A4 B/N,2026-02-18,46.0
Doble Cara A4 B/N,2026-02-19,18.0
Doble Cara A4 B/N,2026-02-20,41.0
Doble Cara A4 B/N,2026-02-21,21.0
Doble Cara A4 B/N,2026-02-22,0.0
Doble Cara A4 B/N,2026-02-23,23.0
Doble Cara A4 B/N,2026-02-24,30.0
Doble Cara A4 B/N,2026-02-25,241.0
Doble Cara A4 B/N,2026-02-26,66.0
Doble Cara A4 B/N,2026-02-27,22.0
Doble Cara A4 B/N,2026-02-28,44.0
Doble Cara A4 B/N,2026-03-01,0.0
Doble Cara A4 B/N,2026-03-02,212.0
Doble Cara A4 B/N,2026-03-03,32.0
Doble Cara A4 B/N,2026-03-04,47.0
Doble Cara A4 B/N,2026-03-05,137.0
Doble Cara A4 B/N,2026-03-06,34.0
Doble Cara A4 B/N,2026-03-07,83.0
Doble Cara A4 B/N,2026-03-08,0.0
Doble Cara A4 B/N,2026-03-09,59.0
Doble Cara A4 B/N,2026-03-10,4.0
Doble Cara A4 B/N,2026-03-11,10.0
Doble Cara A4 B/N,2026-03-12,13.0
Doble Cara A4 B/N,2026-03-13,177.0
Doble Cara A4 B/N,2026-03-14,103.0
Doble Cara A4 B/N,2026-03-15,0.0
Doble Cara A4 B/N,2026-03-16,0.0
Doble Cara A4 B/N,2026-03-17,192.0
Doble Cara A4 B/N,2026-03-18,75.0
Doble Cara A4 B/N,2026-03-19,33.0
Doble Cara A4 B/N,2026-03-20,14.0
Doble Cara A4 B/N,2026-03-21,17.0
Doble Cara A4 B/N,2026-03-22,0.0
Doble Cara A4 B/N,2026-03-23,55.0
Doble Cara A4 B/N,2026-03-24,64.0
Doble Cara A4 B/N,2026-03-25,70.0
Doble Cara A4 B/N,2026-03-26,80.0
Doble Cara A4 B/N,2026-03-27,16.0
Doble Cara A4 B/N,2026-03-28,4.0
Doble Cara A4 B/N,2026-03-29,0.0
Doble Cara A4 B/N,2026-03-30,37.0
Doble Cara A4 B/N,2026-03-31,18.0
Doble Cara A4 B/N,2026-04-01,0.0
Doble Cara A4 B/N,2026-04-02,0.0
Doble Cara A4 B/N,2026-04-03,0.0
Doble Cara A4 B/N,2026-04-04,0.0
Doble Cara A4 B/N,2026-04-05,0.0
Doble Cara A4 B/N,2026-04-06,53.0
Doble Cara A4 B/N,2026-04-07,98.0
Doble Cara A4 B/N,2026-04-08,28.0
Doble Cara A4 B/N,2026-04-09,32.0
Doble Cara A4 B/N,2026-04-10,1.0
Doble Cara A4 B/N,2026-04-11,50.0
Doble Cara A4 B/N,2026-04-12,0.0
Doble Cara A4 B/N,2026-04-13,26.0
Doble Cara A4 B/N,2026-04-14,14.0
Doble Cara A4 B/N,2026-04-15,23.0
Doble Cara A4 B/N,2026-04-16,31.0
Doble Cara A4 B/N,2026-04-17,5.0
Doble Cara A4 B/N,2026-04-18,5.0
Doble Cara A4 B/N,2026-04-19,0.0
Doble Cara A4 B/N,2026-04-20,140.0
Doble Cara A4 B/N,2026-04-21,346.0
Doble Cara A4 B/N,2026-04-22,33.0
Doble Cara A4 B/N,2026-04-23,336.0
Doble Cara A4 B/N,2026-04-24,86.0
Doble Cara A4 B/N,2026-04-25,26.0
Doble Cara A4 B/N,2026-04-26,0.0
Doble Cara A4 B/N,2026-04-27,336.0
Doble Cara A4 B/N,2026-04-28,49.0
Doble Cara A4 B/N,2026-04-29,99.0
Doble Cara A4 B/N,2026-04-30,188.0
Doble Cara A4 B/N,2026-05-01,0.0
Doble Cara A4 B/N,2026-05-02,0.0
Doble Cara A4 B/N,2026-05-03,0.0
Doble Cara A4 B/N,2026-05-04,196.0
Doble Cara A4 B/N,2026-05-05,146.0
Doble Cara A4 B/N,2026-05-06,24.0
Doble Cara A4 B/N,2026-05-07,63.0
Doble Cara A4 B/N,2026-05-08,15.0
Doble Cara A4 B/N,2026-05-09,102.0
Doble Cara A4 B/N,2026-05-10,0.0
Doble Cara A4 B/N,2026-05-11,83.0
Doble Cara A4 B/N,2026-05-12,119.0
Doble Cara A4 B/N,2026-05-13,87.0
Doble Cara A4 B/N,2026-05-14,21.0
Doble Cara A4 B/N,2026-05-15,0.0
Doble Cara A4 B/N,2026-05-16,164.0
Doble Cara A4 B/N,2026-05-17,0.0
Doble Cara A4 B/N,2026-05-18,98.0
Doble Cara A4 B/N,2026-05-19,314.0
Doble Cara A4 B/N,2026-05-20,93.0
Doble Cara A4 B/N,2026-05-21,73.0
Doble Cara A4 B/N,2026-05-22,86.0
Doble Cara A4 B/N,2026-05-23,58.0
Doble Cara A4 B/N,2026-05-24,0.0
Doble Cara A4 B/N,2026-05-25,22.0
Doble Cara A4 B/N,2026-05-26,578.0
Doble Cara A4 B/N,2026-05-27,694.0
Doble Cara A4 B/N,2026-05-28,54.0
Doble Cara A4 B/N,2026-05-29,57.0
Doble Cara A4 B/N,2026-05-30,3.0
Doble Cara A4 B/N,2026-05-31,0.0
Doble Cara A4 B/N,2026-06-01,79.0
Doble Cara A4 B/N,2026-06-02,379.0
Doble Cara A4 B/N,2026-06-03,31.0
Doble Cara A4 B/N,2026-06-04,37.0
Doble Cara A4 B/N,2026-06-05,64.0
Doble Cara A4 B/N,2026-06-06,6.0
Doble Cara A4 B/N,2026-06-07,0.0
Doble Cara A4 B/N,2026-06-08,107.0
Doble Cara A4 B/N,2026-06-09,55.0
Doble Cara A4 B/N,2026-06-10,0.0
Doble Cara A4 B/N,2026-06-11,224.0
Doble Cara A4 B/N,2026-06-12,22.0
Doble Cara A4 B/N,2026-06-13,66.0
Doble Cara A4 B/N,2026-06-14,0.0
Doble Cara A4 B/N,2026-06-15,86.0
Doble Cara A4 B/N,2026-06-16,214.0
Doble Cara A4 B/N,2026-06-17,3.0
Doble Cara A4 B/N,2026-06-18,436.0
Doble Cara A4 B/N,2026-06-19,54.0
Doble Cara A4 B/N,2026-06-20,447.0
Doble Cara A4 B/N,2026-06-21,0.0
Doble Cara A4 B/N,2026-06-22,72.0
Doble Cara A4 B/N,2026-06-23,47.0
Doble Cara A4 B/N,2026-06-24,111.0
Doble Cara A4 B/N,2026-06-25,24.0
Doble Cara A4 B/N,2026-06-26,85.0
Doble Cara A4 B/N,2026-06-27,6.0
Doble Cara A4 B/N,2026-06-28,0.0
Doble Cara A4 B/N,2026-06-29,64.0
Doble Cara A4 B/N,2026-06-30,21.0
Doble Cara A4 B/N,2026-07-01,16.0
Doble Cara A4 B/N,2026-07-02,33.0
Doble Cara A4 B/N,2026-07-03,10.0
Doble Cara A4 B/N,2026-07-04,29.0
Doble Cara A4 B/N,2026-07-05,0.0
Doble Cara A4 B/N,2026-07-06,0.0
Copia A4 Color,2026-01-19,0.0
Copia A4 Color,2026-01-20,6.0
Copia A4 Color,2026-01-21,32.0
Copia A4 Color,2026-01-22,26.0
Copia A4 Color,2026-01-23,102.0
Copia A4 Color,2026-01-24,2.0
Copia A4 Color,2026-01-25,0.0
Copia A4 Color,2026-01-26,23.0
Copia A4 Color,2026-01-27,10.0
Copia A4 Color,2026-01-28,0.0
Copia A4 Color,2026-01-29,20.0
Copia A4 Color,2026-01-30,3.0
Copia A4 Color,2026-01-31,5.0
Copia A4 Color,2026-02-01,0.0
Copia A4 Color,2026-02-02,13.0
Copia A4 Color,2026-02-03,54.0
Copia A4 Color,2026-02-04,42.0
Copia A4 Color,2026-02-05,21.0
Copia A4 Color,2026-02-06,58.0
Copia A4 Color,2026-02-07,1.0
Copia A4 Color,2026-02-08,0.0
Copia A4 Color,2026-02-09,40.0
Copia A4 Color,2026-02-10,35.0
Copia A4 Color,2026-02-11,45.0
Copia A4 Color,2026-02-12,21.0
Copia A4 Color,2026-02-13,33.0
Copia A4 Color,2026-02-14,26.0
Copia A4 Color,2026-02-15,0.0
Copia A4 Color,2026-02-16,54.0
Copia A4 Color,2026-02-17,3.0
Copia A4 Color,2026-02-18,15.0
Copia A4 Color,2026-02-19,20.0
Copia A4 Color,2026-02-20,9.0
Copia A4 Color,2026-02-21,3.0
Copia A4 Color,2026-02-22,0.0
Copia A4 Color,2026-02-23,9.0
Copia A4 Color,2026-02-24,1.0
Copia A4 Color,2026-02-25,25.0
Copia A4 Color,2026-02-26,16.0
Copia A4 Color,2026-02-27,0.0
Copia A4 Color,2026-02-28,8.0
Copia A4 Color,2026-03-01,0.0
Copia A4 Color,2026-03-02,5.0
Copia A4 Color,2026-03-03,37.0
Copia A4 Color,2026-03-04,7.0
Copia A4 Color,2026-03-05,2.0
Copia A4 Color,2026-03-06,48.0
Copia A4 Color,2026-03-07,35.0
Copia A4 Color,2026-03-08,0.0
Copia A4 Color,2026-03-09,31.0
Copia A4 Color,2026-03-10,13.0
Copia A4 Color,2026-03-11,35.0
Copia A4 Color,2026-03-12,4.0
Copia A4 Color,2026-03-13,3.0
Copia A4 Color,2026-03-14,0.0
Copia A4 Color,2026-03-15,0.0
Copia A4 Color,2026-03-16,0.0
Copia A4 Color,2026-03-17,22.0
Copia A4 Color,2026-03-18,4.0
Copia A4 Color,2026-03-19,35.0
Copia A4 Color,2026-03-20,4.0
Copia A4 Color,2026-03-21,6.0
Copia A4 Color,2026-03-22,0.0
Copia A4 Color,2026-03-23,271.0
Copia A4 Color,2026-03-24,42.0
Copia A4 Color,2026-03-25,24.0
Copia A4 Color,2026-03-26,15.0
Copia A4 Color,2026-03-27,11.0
Copia A4 Color,2026-03-28,1.0
Copia A4 Color,2026-03-29,0.0
Copia A4 Color,2026-03-30,7.0
Copia A4 Color,2026-03-31,1.0
Copia A4 Color,2026-04-01,0.0
Copia A4 Color,2026-04-02,0.0
Copia A4 Color,2026-04-03,0.0
Copia A4 Color,2026-04-04,0.0
Copia A4 Color,2026-04-05,0.0
Copia A4 Color,2026-04-06,10.0
Copia A4 Color,2026-04-07,13.0
Copia A4 Color,2026-04-08,13.0
Copia A4 Color,2026-04-09,8.0
Copia A4 Color,2026-04-10,9.0
Copia A4 Color,2026-04-11,2.0
Copia A4 Color,2026-04-12,0.0
Copia A4 Color,2026-04-13,11.0
Copia A4 Color,2026-04-14,37.0
Copia A4 Color,2026-04-15,36.0
Copia A4 Color,2026-04-16,9.0
Copia A4 Color,2026-04-17,5.0
Copia A4 Color,2026-04-18,17.0
Copia A4 Color,2026-04-19,0.0
Copia A4 Color,2026-04-20,14.0
Copia A4 Color,2026-04-21,48.0
Copia A4 Color,2026-04-22,40.0
Copia A4 Color,2026-04-23,63.0
Copia A4 Color,2026-04-24,9.0
Copia A4 Color,2026-04-25,12.0
Copia A4 Color,2026-04-26,0.0
Copia A4 Color,2026-04-27,16.0
Copia A4 Color,2026-04-28,67.0
Copia A4 Color,2026-04-29,44.0
Copia A4 Color,2026-04-30,12.0
Copia A4 Color,2026-05-01,0.0
Copia A4 Color,2026-05-02,16.0
Copia A4 Color,2026-05-03,0.0
Copia A4 Color,2026-05-04,31.0
Copia A4 Color,2026-05-05,5.0
Copia A4 Color,2026-05-06,12.0
Copia A4 Color,2026-05-07,46.0
Copia A4 Color,2026-05-08,26.0
Copia A4 Color,2026-05-09,5.0
Copia A4 Color,2026-05-10,0.0
Copia A4 Color,2026-05-11,9.0
Copia A4 Color,2026-05-12,5.0
Copia A4 Color,2026-05-13,16.0
Copia A4 Color,2026-05-14,9.0
Copia A4 Color,2026-05-15,0.0
Copia A4 Color,2026-05-16,0.0
Copia A4 Color,2026-05-17,0.0
Copia A4 Color,2026-05-18,58.0
Copia A4 Color,2026-05-19,15.0
Copia A4 Color,2026-05-20,59.0
Copia A4 Color,2026-05-21,19.0
Copia A4 Color,2026-05-22,23.0
Copia A4 Color,2026-05-23,8.0
Copia A4 Color,2026-05-24,0.0
Copia A4 Color,2026-05-25,12.0
Copia A4 Color,2026-05-26,2.0
Copia A4 Color,2026-05-27,1.0
Copia A4 Color,2026-05-28,20.0
Copia A4 Color,2026-05-29,1.0
Copia A4 Color,2026-05-30,32.0
Copia A4 Color,2026-05-31,0.0
Copia A4 Color,2026-06-01,15.0
Copia A4 Color,2026-06-02,66.0
Copia A4 Color,2026-06-03,18.0
Copia A4 Color,2026-06-04,6.0
Copia A4 Color,2026-06-05,10.0
Copia A4 Color,2026-06-06,9.0
Copia A4 Color,2026-06-07,0.0
Copia A4 Color,2026-06-08,10.0
Copia A4 Color,2026-06-09,47.0
Copia A4 Color,2026-06-10,0.0
Copia A4 Color,2026-06-11,15.0
Copia A4 Color,2026-06-12,21.0
Copia A4 Color,2026-06-13,12.0
Copia A4 Color,2026-06-14,0.0
Copia A4 Color,2026-06-15,14.0
Copia A4 Color,2026-06-16,36.0
Copia A4 Color,2026-06-17,3.0
Copia A4 Color,2026-06-18,14.0
Copia A4 Color,2026-06-19,56.0
Copia A4 Color,2026-06-20,1.0
Copia A4 Color,2026-06-21,0.0
Copia A4 Color,2026-06-22,27.0
Copia A4 Color,2026-06-23,11.0
Copia A4 Color,2026-06-24,43.0
Copia A4 Color,2026-06-25,9.0
Copia A4 Color,2026-06-26,2.0
Copia A4 Color,2026-06-27,0.0
Copia A4 Color,2026-06-28,0.0
Copia A4 Color,2026-06-29,20.0
Copia A4 Color,2026-06-30,2.0
Copia A4 Color,2026-07-01,8.0
Copia A4 Color,2026-07-02,11.0
Copia A4 Color,2026-07-03,5.0
Copia A4 Color,2026-07-04,6.0
Copia A4 Color,2026-07-05,0.0
Copia A4 Color,2026-07-06,0.0
1ª Página,2026-01-19,1.0
1ª Página,2026-01-20,0.0
1ª Página,2026-01-21,0.0
1ª Página,2026-01-22,3.0
1ª Página,2026-01-23,2.0
1ª Página,2026-01-24,0.0
1ª Página,2026-01-25,0.0
1ª Página,2026-01-26,1.0
1ª Página,2026-01-27,3.0
1ª Página,2026-01-28,0.0
1ª Página,2026-01-29,2.0
1ª Página,2026-01-30,3.0
1ª Página,2026-01-31,0.0
1ª Página,2026-02-01,0.0
1ª Página,2026-02-02,2.0
1ª Página,2026-02-03,2.0
1ª Página,2026-02-04,4.0
1ª Página,2026-02-05,3.0
1ª Página,2026-02-06,3.0
1ª Página,2026-02-07,0.0
1ª Página,2026-02-08,0.0
1ª Página,2026-02-09,1.0
1ª Página,2026-02-10,4.0
1ª Página,2026-02-11,0.0
1ª Página,2026-02-12,3.0
1ª Página,2026-02-13,0.0
1ª Página,2026-02-14,1.0
1ª Página,2026-02-15,0.0
1ª Página,2026-02-16,0.0
1ª Página,2026-02-17,2.0
1ª Página,2026-02-18,4.0
1ª Página,2026-02-19,4.0
1ª Página,2026-02-20,3.0
1ª Página,2026-02-21,0.0
1ª Página,2026-02-22,0.0
1ª Página,2026-02-23,2.0
1ª Página,2026-02-24,3.0
1ª Página,2026-02-25,3.0
1ª Página,2026-02-26,8.0
1ª Página,2026-02-27,1.0
1ª Página,2026-02-28,1.0
1ª Página,2026-03-01,0.0
1ª Página,2026-03-02,2.0
1ª Página,2026-03-03,4.0
1ª Página,2026-03-04,2.0
1ª Página,2026-03-05,7.0
1ª Página,2026-03-06,3.0
1ª Página,2026-03-07,1.0
1ª Página,2026-03-08,0.0
1ª Página,2026-03-09,1.0
1ª Página,2026-03-10,1.0
1ª Página,2026-03-11,0.0
1ª Página,2026-03-12,0.0
1ª Página,2026-03-13,3.0
1ª Página,2026-03-14,0.0
1ª Página,2026-03-15,0.0
1ª Página,2026-03-16,0.0
1ª Página,2026-03-17,2.0
1ª Página,2026-03-18,0.0
1ª Página,2026-03-19,1.0
1ª Página,2026-03-20,1.0
1ª Página,2026-03-21,0.0
1ª Página,2026-03-22,0.0
1ª Página,2026-03-23,4.0
1ª Página,2026-03-24,3.0
1ª Página,2026-03-25,2.0
1ª Página,2026-03-26,1.0
1ª Página,2026-03-27,0.0
1ª Página,2026-03-28,0.0
1ª Página,2026-03-29,0.0
1ª Página,2026-03-30,2.0
1ª Página,2026-03-31,0.0
1ª Página,2026-04-01,0.0
1ª Página,2026-04-02,0.0
1ª Página,2026-04-03,0.0
1ª Página,2026-04-04,0.0
1ª Página,2026-04-05,0.0
1ª Página,2026-04-06,9.0
1ª Página,2026-04-07,2.0
1ª Página,2026-04-08,2.0
1ª Página,2026-04-09,1.0
1ª Página,2026-04-10,3.0
1ª Página,2026-04-11,1.0
1ª Página,2026-04-12,0.0
1ª Página,2026-04-13,2.0
1ª Página,2026-04-14,2.0
1ª Página,2026-04-15,3.0
1ª Página,2026-04-16,4.0
1ª Página,2026-04-17,0.0
1ª Página,2026-04-18,1.0
1ª Página,2026-04-19,0.0
1ª Página,2026-04-20,2.0
1ª Página,2026-04-21,1.0
1ª Página,2026-04-22,2.0
1ª Página,2026-04-23,5.0
1ª Página,2026-04-24,1.0
1ª Página,2026-04-25,0.0
1ª Página,2026-04-26,0.0
1ª Página,2026-04-27,2.0
1ª Página,2026-04-28,2.0
1ª Página,2026-04-29,2.0
1ª Página,2026-04-30,2.0
1ª Página,2026-05-01,0.0
1ª Página,2026-05-02,0.0
1ª Página,2026-05-03,0.0
1ª Página,2026-05-04,1.0
1ª Página,2026-05-05,0.0
1ª Página,2026-05-06,5.0
1ª Página,2026-05-07,1.0
1ª Página,2026-05-08,2.0
1ª Página,2026-05-09,3.0
1ª Página,2026-05-10,0.0
1ª Página,2026-05-11,3.0
1ª Página,2026-05-12,1.0
1ª Página,2026-05-13,2.0
1ª Página,2026-05-14,3.0
1ª Página,2026-05-15,0.0
1ª Página,2026-05-16,1.0
1ª Página,2026-05-17,0.0
1ª Página,2026-05-18,4.0
1ª Página,2026-05-19,2.0
1ª Página,2026-05-20,4.0
1ª Página,2026-05-21,2.0
1ª Página,2026-05-22,6.0
1ª Página,2026-05-23,0.0
1ª Página,2026-05-24,0.0
1ª Página,2026-05-25,0.0
1ª Página,2026-05-26,1.0
1ª Página,2026-05-27,0.0
1ª Página,2026-05-28,0.0
1ª Página,2026-05-29,2.0
1ª Página,2026-05-30,1.0
1ª Página,2026-05-31,0.0
1ª Página,2026-06-01,4.0
1ª Página,2026-06-02,3.0
1ª Página,2026-06-03,4.0
1ª Página,2026-06-04,4.0
1ª Página,2026-06-05,1.0
1ª Página,2026-06-06,2.0
1ª Página,2026-06-07,0.0
1ª Página,2026-06-08,5.0
1ª Página,2026-06-09,4.0
1ª Página,2026-06-10,1.0
1ª Página,2026-06-11,3.0
1ª Página,2026-06-12,9.0
1ª Página,2026-06-13,0.0
1ª Página,2026-06-14,0.0
1ª Página,2026-06-15,4.0
1ª Página,2026-06-16,0.0
1ª Página,2026-06-17,1.0
1ª Página,2026-06-18,3.0
1ª Página,2026-06-19,4.0
1ª Página,2026-06-20,2.0
1ª Página,2026-06-21,0.0
1ª Página,2026-06-22,5.0
1ª Página,2026-06-23,4.0
1ª Página,2026-06-24,3.0
1ª Página,2026-06-25,2.0
1ª Página,2026-06-26,1.0
1ª Página,2026-06-27,1.0
1ª Página,2026-06-28,0.0
1ª Página,2026-06-29,1.0
1ª Página,2026-06-30,2.0
1ª Página,2026-07-01,3.0
1ª Página,2026-07-02,6.0
1ª Página,2026-07-03,2.0
1ª Página,2026-07-04,0.0
1ª Página,2026-07-05,0.0
1ª Página,2026-07-06,0.0
Servicio menor a 1 hora,2026-01-19,0.0
Servicio menor a 1 hora,2026-01-20,0.0
Servicio menor a 1 hora,2026-01-21,0.0
Servicio menor a 1 hora,2026-01-22,2.0
